age;job;marital;education;balance;housing;loan;contact;day;month;duration;campaign;pdays;poutcome;y
37;entrepreneur;married;secondary;35;1;1;unknown;27;may;73;6;-1;unknown;0
51;blue-collar;married;primary;51;0;0;unknown;27;may;121;2;-1;unknown;0
40;blue-collar;single;secondary;0;1;0;unknown;27;may;59;4;-1;unknown;0
39;technician;married;secondary;7137;1;0;unknown;27;may;151;7;-1;unknown;0
38;services;single;secondary;0;1;0;unknown;27;may;166;2;-1;unknown;0
43;management;single;secondary;109;1;0;unknown;27;may;64;3;-1;unknown;0
50;technician;married;secondary;-157;1;0;unknown;27;may;353;3;-1;unknown;0
35;unemployed;married;tertiary;226;0;0;unknown;27;may;322;5;-1;unknown;0
49;management;married;secondary;6758;1;1;unknown;27;may;67;3;-1;unknown;0
36;blue-collar;married;secondary;-185;1;0;unknown;27;may;163;2;-1;unknown;0
47;technician;divorced;tertiary;48;0;0;unknown;27;may;27;2;-1;unknown;0
54;management;married;tertiary;1353;1;0;unknown;27;may;119;2;-1;unknown;0
48;admin.;married;primary;3;1;0;unknown;27;may;148;4;-1;unknown;0
43;admin.;married;secondary;429;1;0;unknown;27;may;222;4;-1;unknown;0
49;blue-collar;married;secondary;134;1;1;unknown;27;may;265;2;-1;unknown;0
32;admin.;single;secondary;-15;0;0;unknown;27;may;214;2;-1;unknown;0
42;admin.;married;secondary;208;1;0;unknown;27;may;75;2;-1;unknown;0
38;blue-collar;married;primary;27;1;0;unknown;27;may;62;4;-1;unknown;0
44;blue-collar;divorced;secondary;-222;1;0;unknown;27;may;112;3;-1;unknown;0
31;management;married;tertiary;91;0;0;unknown;27;may;145;2;-1;unknown;0
30;admin.;married;tertiary;612;1;0;unknown;27;may;220;6;-1;unknown;0
38;management;divorced;tertiary;5455;1;0;unknown;27;may;204;3;-1;unknown;0
60;entrepreneur;divorced;secondary;1307;1;0;unknown;27;may;328;11;-1;unknown;0
35;management;married;tertiary;4038;1;1;unknown;27;may;160;6;-1;unknown;0
29;blue-collar;married;secondary;2776;1;0;unknown;27;may;233;1;-1;unknown;0
43;services;married;secondary;0;1;0;unknown;27;may;129;1;-1;unknown;0
36;admin.;married;secondary;0;1;0;unknown;27;may;578;2;-1;unknown;0
29;blue-collar;married;primary;1016;1;0;unknown;27;may;33;1;-1;unknown;0
53;technician;married;secondary;87;1;0;unknown;27;may;183;9;-1;unknown;0
38;technician;married;secondary;508;1;0;unknown;27;may;565;2;-1;unknown;0
59;retired;single;secondary;351;1;0;unknown;27;may;1063;5;-1;unknown;1
28;blue-collar;single;secondary;352;1;1;unknown;27;may;125;3;-1;unknown;0
36;services;single;secondary;203;1;0;unknown;27;may;193;5;-1;unknown;0
40;admin.;married;primary;189;1;0;unknown;27;may;160;2;-1;unknown;0
36;management;married;tertiary;293;1;0;unknown;27;may;287;4;-1;unknown;0
58;management;divorced;tertiary;-197;1;0;unknown;27;may;277;4;-1;unknown;0
49;self-employed;married;primary;489;1;0;unknown;27;may;84;4;-1;unknown;0
43;blue-collar;married;primary;-124;1;0;unknown;27;may;47;5;-1;unknown;0
55;technician;married;secondary;150;1;1;unknown;27;may;285;1;-1;unknown;0
35;blue-collar;married;secondary;-185;1;1;unknown;27;may;130;2;-1;unknown;0
50;blue-collar;married;secondary;74;1;1;unknown;27;may;146;1;-1;unknown;0
48;blue-collar;married;secondary;653;1;0;unknown;27;may;24;1;-1;unknown;0
28;services;single;tertiary;737;1;1;unknown;27;may;955;1;-1;unknown;0
34;services;single;secondary;-92;1;0;unknown;27;may;236;1;-1;unknown;0
37;blue-collar;married;secondary;132;0;0;unknown;27;may;336;2;-1;unknown;0
33;technician;divorced;secondary;-119;1;0;unknown;27;may;150;1;-1;unknown;0
58;admin.;married;secondary;92;1;0;unknown;27;may;180;1;-1;unknown;0
44;blue-collar;single;secondary;-215;1;0;unknown;27;may;163;2;-1;unknown;0
49;technician;married;secondary;-849;1;1;unknown;27;may;197;1;-1;unknown;0
28;blue-collar;married;primary;32;1;0;unknown;27;may;218;1;-1;unknown;0
39;technician;married;secondary;214;1;0;unknown;27;may;386;11;-1;unknown;0
26;admin.;married;secondary;3160;1;0;unknown;27;may;154;1;-1;unknown;0
31;blue-collar;married;primary;0;1;0;unknown;27;may;159;2;-1;unknown;0
32;blue-collar;married;secondary;-1500;1;0;unknown;27;may;157;2;-1;unknown;0
52;admin.;married;secondary;876;0;0;unknown;27;may;227;3;-1;unknown;0
32;services;married;secondary;-124;0;0;unknown;27;may;116;1;-1;unknown;0
28;entrepreneur;married;secondary;8;1;0;unknown;27;may;1297;1;-1;unknown;0
32;management;married;tertiary;3517;1;0;unknown;27;may;57;5;-1;unknown;0
28;blue-collar;married;primary;46;1;0;unknown;27;may;205;3;-1;unknown;0
53;technician;married;secondary;-725;1;0;unknown;27;may;1205;1;-1;unknown;1
33;technician;single;secondary;810;1;0;unknown;27;may;133;1;-1;unknown;0
39;management;single;tertiary;-50;1;0;unknown;27;may;59;1;-1;unknown;0
37;technician;married;secondary;-21;1;0;unknown;27;may;229;2;-1;unknown;0
45;technician;married;unknown;473;1;0;unknown;27;may;147;1;-1;unknown;0
37;services;married;secondary;-24;1;0;unknown;27;may;147;1;-1;unknown;0
45;blue-collar;married;secondary;-302;1;0;unknown;27;may;78;1;-1;unknown;0
31;blue-collar;married;secondary;557;1;1;unknown;27;may;185;1;-1;unknown;0
32;blue-collar;married;secondary;-238;1;0;unknown;27;may;427;1;-1;unknown;0
34;blue-collar;married;primary;-106;1;0;unknown;27;may;237;1;-1;unknown;0
39;housemaid;married;primary;-44;1;0;unknown;27;may;228;1;-1;unknown;0
56;blue-collar;married;primary;373;1;0;unknown;27;may;269;1;-1;unknown;0
32;technician;single;secondary;535;1;1;unknown;27;may;156;2;-1;unknown;0
31;technician;married;secondary;169;1;0;unknown;27;may;143;1;-1;unknown;0
43;admin.;married;secondary;372;1;0;unknown;27;may;162;1;-1;unknown;0
33;technician;married;secondary;-1040;1;1;unknown;27;may;130;1;-1;unknown;0
23;admin.;married;secondary;836;1;0;unknown;27;may;674;1;-1;unknown;0
32;admin.;married;secondary;17;1;0;unknown;27;may;123;1;-1;unknown;0
32;management;divorced;tertiary;-634;1;1;unknown;27;may;275;1;-1;unknown;0
39;blue-collar;married;secondary;-131;1;1;unknown;27;may;232;1;-1;unknown;0
39;services;single;secondary;326;1;0;unknown;27;may;115;1;-1;unknown;0
30;entrepreneur;single;primary;0;1;1;unknown;27;may;1051;1;-1;unknown;1
37;unknown;single;secondary;57;1;0;unknown;27;may;142;1;-1;unknown;0
46;management;married;primary;-268;1;0;unknown;27;may;99;1;-1;unknown;0
29;technician;single;secondary;115;0;0;unknown;27;may;340;1;-1;unknown;0
51;blue-collar;married;primary;-26;1;0;unknown;27;may;47;1;-1;unknown;0
46;blue-collar;married;secondary;-371;1;0;unknown;27;may;138;1;-1;unknown;0
31;admin.;single;secondary;4388;1;0;unknown;27;may;182;2;-1;unknown;0
40;blue-collar;married;primary;-335;1;0;unknown;27;may;260;1;-1;unknown;0
26;technician;divorced;tertiary;3154;1;1;unknown;27;may;121;1;-1;unknown;0
32;admin.;married;secondary;-458;0;0;unknown;27;may;143;1;-1;unknown;0
27;admin.;married;secondary;1475;1;0;unknown;27;may;472;1;-1;unknown;0
36;services;divorced;secondary;-330;1;1;unknown;27;may;207;2;-1;unknown;0
36;blue-collar;married;unknown;-417;1;0;unknown;27;may;597;3;-1;unknown;0
27;admin.;single;secondary;0;1;0;unknown;27;may;265;1;-1;unknown;0
56;management;divorced;tertiary;408;1;0;unknown;27;may;274;1;-1;unknown;0
28;blue-collar;married;secondary;110;1;0;unknown;27;may;420;1;-1;unknown;0
34;management;married;secondary;-294;1;0;unknown;27;may;532;2;-1;unknown;0
34;blue-collar;married;secondary;-61;1;0;unknown;27;may;128;1;-1;unknown;0
45;technician;divorced;secondary;23;1;0;unknown;27;may;62;4;-1;unknown;0
40;admin.;married;secondary;3087;1;1;unknown;27;may;185;1;-1;unknown;0
25;blue-collar;single;secondary;-187;1;1;unknown;27;may;275;4;-1;unknown;0
32;admin.;single;secondary;146;0;0;unknown;27;may;111;10;-1;unknown;0
28;management;single;tertiary;939;1;0;unknown;27;may;740;1;-1;unknown;1
33;blue-collar;married;primary;1217;1;0;unknown;27;may;271;3;-1;unknown;0
32;blue-collar;married;primary;-11;1;0;unknown;27;may;776;1;-1;unknown;0
36;admin.;single;unknown;-69;1;0;unknown;27;may;90;2;-1;unknown;0
38;admin.;divorced;secondary;-212;1;0;unknown;27;may;78;2;-1;unknown;0
23;admin.;single;secondary;345;1;0;unknown;27;may;330;2;-1;unknown;0
22;technician;single;secondary;356;1;0;unknown;27;may;518;2;-1;unknown;0
56;retired;divorced;secondary;-663;1;0;unknown;27;may;243;2;-1;unknown;0
35;blue-collar;single;secondary;-482;1;0;unknown;27;may;472;1;-1;unknown;0
33;services;divorced;secondary;991;1;0;unknown;27;may;148;1;-1;unknown;0
30;blue-collar;married;secondary;501;1;1;unknown;27;may;514;1;-1;unknown;0
34;admin.;married;secondary;256;0;0;unknown;27;may;388;2;-1;unknown;0
59;retired;married;secondary;-48;1;0;unknown;27;may;224;1;-1;unknown;0
26;admin.;married;secondary;1641;1;0;unknown;27;may;118;1;-1;unknown;0
42;admin.;married;secondary;818;1;0;unknown;27;may;255;1;-1;unknown;0
48;blue-collar;married;secondary;154;1;0;unknown;27;may;70;3;-1;unknown;0
31;services;married;secondary;-641;1;1;unknown;27;may;296;2;-1;unknown;0
28;entrepreneur;single;tertiary;219;1;0;unknown;27;may;257;1;-1;unknown;0
36;admin.;married;secondary;1867;1;1;unknown;27;may;243;2;-1;unknown;0
27;student;single;unknown;910;1;1;unknown;27;may;77;1;-1;unknown;0
39;blue-collar;married;primary;34;1;0;unknown;27;may;114;1;-1;unknown;0
35;technician;married;tertiary;712;1;0;unknown;27;may;73;2;-1;unknown;0
28;management;single;tertiary;0;1;0;unknown;27;may;290;1;-1;unknown;0
32;technician;married;tertiary;168;0;0;unknown;27;may;86;1;-1;unknown;0
28;blue-collar;single;secondary;1025;1;0;unknown;27;may;168;1;-1;unknown;0
34;blue-collar;married;secondary;457;1;1;unknown;27;may;188;1;-1;unknown;0
51;blue-collar;married;primary;109;1;0;unknown;27;may;106;2;-1;unknown;0
50;management;married;secondary;-44;1;0;unknown;27;may;45;1;-1;unknown;0
49;unemployed;married;primary;-384;1;0;unknown;27;may;25;1;-1;unknown;0
36;management;single;tertiary;3875;1;0;unknown;27;may;21;5;-1;unknown;0
55;technician;married;secondary;1004;1;1;unknown;27;may;224;1;-1;unknown;0
58;management;divorced;tertiary;-71;0;0;unknown;27;may;114;1;-1;unknown;0
41;services;married;secondary;33;1;1;unknown;27;may;82;1;-1;unknown;0
29;admin.;single;tertiary;2904;1;0;unknown;27;may;33;1;-1;unknown;0
36;entrepreneur;married;tertiary;271;1;0;unknown;27;may;322;2;-1;unknown;0
24;admin.;single;secondary;-507;1;0;unknown;27;may;446;1;-1;unknown;0
31;management;single;tertiary;1411;1;0;unknown;27;may;121;4;-1;unknown;0
30;management;single;tertiary;3773;1;0;unknown;27;may;99;1;-1;unknown;0
24;technician;single;tertiary;1954;1;1;unknown;27;may;78;1;-1;unknown;0
36;blue-collar;married;primary;244;1;0;unknown;27;may;70;2;-1;unknown;0
51;blue-collar;divorced;secondary;216;1;0;unknown;27;may;213;2;-1;unknown;0
23;blue-collar;single;primary;-627;1;1;unknown;27;may;115;1;-1;unknown;0
26;blue-collar;single;primary;619;1;1;unknown;27;may;305;1;-1;unknown;0
29;services;single;tertiary;2564;1;0;unknown;27;may;306;2;-1;unknown;0
41;self-employed;married;primary;-8;1;0;unknown;27;may;643;2;-1;unknown;0
35;services;married;secondary;505;1;1;unknown;27;may;371;2;-1;unknown;0
42;services;married;secondary;-43;1;1;unknown;27;may;363;3;-1;unknown;0
29;services;married;secondary;1057;1;0;unknown;27;may;179;1;-1;unknown;0
34;entrepreneur;married;secondary;-139;1;1;unknown;27;may;492;2;-1;unknown;0
34;management;single;tertiary;13;1;0;unknown;27;may;222;2;-1;unknown;0
58;retired;married;primary;90;1;0;unknown;27;may;144;1;-1;unknown;0
31;blue-collar;married;secondary;203;1;0;unknown;27;may;426;2;-1;unknown;0
32;management;married;tertiary;-383;1;0;unknown;27;may;241;1;-1;unknown;0
56;management;divorced;tertiary;-676;1;1;unknown;27;may;181;1;-1;unknown;0
34;blue-collar;single;secondary;1698;1;0;unknown;27;may;39;7;-1;unknown;0
30;blue-collar;married;secondary;-269;1;0;unknown;27;may;293;2;-1;unknown;0
31;management;single;tertiary;2124;1;0;unknown;27;may;316;2;-1;unknown;0
28;student;single;secondary;4793;0;0;unknown;27;may;151;1;-1;unknown;0
57;management;single;tertiary;33;1;0;unknown;27;may;132;1;-1;unknown;0
35;blue-collar;single;primary;21;1;0;unknown;27;may;129;1;-1;unknown;0
46;technician;divorced;secondary;119;1;0;unknown;27;may;106;1;-1;unknown;0
51;management;married;tertiary;0;0;0;unknown;27;may;68;5;-1;unknown;0
38;blue-collar;married;primary;315;1;0;unknown;27;may;173;3;-1;unknown;0
33;services;divorced;secondary;-395;1;0;unknown;27;may;161;2;-1;unknown;0
21;blue-collar;married;secondary;223;1;0;unknown;27;may;155;1;-1;unknown;0
38;technician;single;secondary;145;1;0;unknown;27;may;109;2;-1;unknown;0
49;admin.;divorced;secondary;333;1;0;unknown;27;may;36;3;-1;unknown;0
54;blue-collar;married;primary;3170;1;0;unknown;27;may;62;4;-1;unknown;0
42;admin.;single;secondary;-847;1;0;unknown;27;may;137;2;-1;unknown;0
44;blue-collar;divorced;primary;68;1;0;unknown;27;may;310;1;-1;unknown;0
31;services;married;secondary;-704;1;0;unknown;27;may;195;2;-1;unknown;0
52;technician;divorced;secondary;388;1;1;unknown;27;may;139;1;-1;unknown;0
27;self-employed;single;tertiary;270;1;0;unknown;27;may;470;2;-1;unknown;0
33;blue-collar;married;secondary;-241;1;1;unknown;27;may;169;1;-1;unknown;0
40;technician;married;secondary;56;1;1;unknown;27;may;223;1;-1;unknown;0
57;housemaid;married;primary;411;1;0;unknown;27;may;104;3;-1;unknown;0
52;services;married;primary;-585;1;1;unknown;27;may;201;2;-1;unknown;0
30;technician;single;secondary;1534;1;0;unknown;27;may;596;1;-1;unknown;0
25;blue-collar;single;secondary;-143;1;1;unknown;27;may;90;1;-1;unknown;0
36;admin.;married;secondary;68;1;1;unknown;27;may;157;1;-1;unknown;0
51;blue-collar;single;secondary;936;1;0;unknown;27;may;253;16;-1;unknown;0
32;admin.;single;secondary;13;1;0;unknown;27;may;88;2;-1;unknown;0
44;admin.;divorced;secondary;-88;1;0;unknown;27;may;600;2;-1;unknown;0
26;technician;divorced;secondary;21;1;0;unknown;27;may;133;1;-1;unknown;0
54;admin.;divorced;secondary;-288;1;0;unknown;27;may;138;2;-1;unknown;0
27;blue-collar;single;secondary;87;1;0;unknown;27;may;43;1;-1;unknown;0
37;admin.;married;secondary;274;1;0;unknown;27;may;731;3;-1;unknown;1
30;services;married;secondary;357;1;0;unknown;27;may;659;4;-1;unknown;0
46;technician;married;secondary;-337;1;0;unknown;27;may;112;1;-1;unknown;0
36;services;single;secondary;-455;0;0;unknown;27;may;124;1;-1;unknown;0
46;blue-collar;married;primary;258;1;0;unknown;27;may;217;1;-1;unknown;0
36;technician;married;secondary;474;1;0;unknown;27;may;59;1;-1;unknown;0
31;blue-collar;married;secondary;66;0;0;unknown;27;may;121;1;-1;unknown;0
35;services;married;secondary;74;1;0;unknown;27;may;112;1;-1;unknown;0
25;blue-collar;single;secondary;2354;0;1;unknown;27;may;98;1;-1;unknown;0
21;admin.;single;unknown;-28;1;0;unknown;27;may;125;1;-1;unknown;0
30;management;married;tertiary;0;1;0;unknown;27;may;175;1;-1;unknown;0
44;technician;divorced;secondary;1196;1;0;unknown;27;may;202;1;-1;unknown;0
34;technician;single;secondary;486;1;0;unknown;27;may;185;1;-1;unknown;0
34;blue-collar;married;secondary;-76;1;0;unknown;27;may;170;1;-1;unknown;0
32;admin.;married;secondary;-370;1;0;unknown;27;may;98;1;-1;unknown;0
40;management;divorced;tertiary;290;1;0;unknown;27;may;184;1;-1;unknown;0
31;blue-collar;single;secondary;116;1;0;unknown;27;may;261;1;-1;unknown;0
29;admin.;single;secondary;915;1;0;unknown;27;may;103;1;-1;unknown;0
33;blue-collar;married;secondary;0;1;0;unknown;27;may;190;1;-1;unknown;0
47;admin.;divorced;secondary;-407;1;0;unknown;27;may;46;1;-1;unknown;0
31;services;married;secondary;-214;1;0;unknown;27;may;198;1;-1;unknown;0
29;blue-collar;married;primary;715;1;0;unknown;27;may;170;1;-1;unknown;0
31;admin.;single;secondary;-302;1;1;unknown;27;may;235;5;-1;unknown;0
34;admin.;single;secondary;88;1;0;unknown;27;may;169;2;-1;unknown;0
28;student;single;tertiary;737;1;0;unknown;27;may;125;1;-1;unknown;0
42;admin.;married;primary;1547;1;1;unknown;27;may;272;3;-1;unknown;0
29;blue-collar;married;secondary;975;1;0;unknown;27;may;265;2;-1;unknown;0
53;self-employed;married;primary;6;1;0;unknown;27;may;233;2;-1;unknown;0
39;blue-collar;married;secondary;459;1;0;unknown;27;may;307;2;-1;unknown;0
33;management;divorced;tertiary;723;1;0;unknown;27;may;246;1;-1;unknown;0
31;management;married;tertiary;1230;1;0;unknown;27;may;290;4;-1;unknown;0
34;services;married;secondary;0;0;0;unknown;27;may;56;2;-1;unknown;0
43;unemployed;divorced;secondary;700;1;0;unknown;27;may;259;1;-1;unknown;0
33;blue-collar;married;tertiary;22;1;0;unknown;27;may;375;1;-1;unknown;0
33;admin.;divorced;secondary;479;1;0;unknown;27;may;74;5;-1;unknown;0
25;technician;married;unknown;776;1;0;unknown;27;may;290;1;-1;unknown;0
34;blue-collar;married;secondary;1575;1;0;unknown;27;may;148;3;-1;unknown;0
26;blue-collar;single;secondary;592;1;1;unknown;27;may;174;1;-1;unknown;0
42;blue-collar;married;secondary;3052;1;0;unknown;27;may;32;1;-1;unknown;0
40;blue-collar;married;primary;-56;1;0;unknown;27;may;316;1;-1;unknown;0
33;blue-collar;married;primary;-159;1;0;unknown;27;may;332;1;-1;unknown;0
39;blue-collar;married;primary;1135;1;0;unknown;27;may;35;1;-1;unknown;0
24;self-employed;single;tertiary;2984;1;0;unknown;27;may;935;1;-1;unknown;1
30;unemployed;married;secondary;-98;1;0;unknown;27;may;173;1;-1;unknown;0
49;management;married;tertiary;1304;1;0;unknown;27;may;144;1;-1;unknown;0
33;services;married;secondary;684;1;0;unknown;27;may;474;1;-1;unknown;0
39;management;divorced;tertiary;-999;1;0;unknown;27;may;313;1;-1;unknown;0
30;blue-collar;married;secondary;1196;0;0;unknown;27;may;147;1;-1;unknown;0
49;technician;married;secondary;-353;1;1;unknown;27;may;123;2;-1;unknown;0
60;technician;married;tertiary;1626;1;1;unknown;27;may;395;2;-1;unknown;0
43;technician;single;secondary;33;1;0;unknown;27;may;93;10;-1;unknown;0
33;entrepreneur;married;secondary;-118;1;1;unknown;27;may;421;3;-1;unknown;0
30;entrepreneur;married;secondary;1539;1;1;unknown;27;may;166;9;-1;unknown;0
24;blue-collar;single;secondary;-438;1;0;unknown;27;may;410;1;-1;unknown;0
48;management;divorced;tertiary;108;1;0;unknown;27;may;89;2;-1;unknown;0
26;admin.;married;secondary;0;0;0;unknown;27;may;755;1;-1;unknown;0
31;admin.;married;secondary;3052;1;1;unknown;27;may;139;2;-1;unknown;0
36;management;married;tertiary;0;1;0;unknown;27;may;145;2;-1;unknown;0
36;management;married;tertiary;-825;0;0;unknown;27;may;95;1;-1;unknown;0
31;blue-collar;single;secondary;1000;1;1;unknown;27;may;191;1;-1;unknown;0
53;admin.;divorced;secondary;-120;1;0;unknown;27;may;211;1;-1;unknown;0
32;management;married;tertiary;124;0;0;unknown;27;may;193;1;-1;unknown;0
47;technician;married;tertiary;-512;1;1;unknown;27;may;220;2;-1;unknown;0
34;management;single;primary;212;0;0;unknown;27;may;88;1;-1;unknown;0
43;management;divorced;tertiary;3257;1;0;unknown;27;may;120;2;-1;unknown;0
42;services;married;secondary;-437;1;1;unknown;27;may;318;1;-1;unknown;0
34;admin.;married;secondary;-549;1;1;unknown;27;may;405;1;-1;unknown;0
30;admin.;single;secondary;-213;1;1;unknown;27;may;751;1;-1;unknown;1
31;management;single;tertiary;-429;1;1;unknown;27;may;207;1;-1;unknown;0
52;technician;married;secondary;2001;1;0;unknown;27;may;95;4;-1;unknown;0
27;admin.;single;secondary;1391;1;0;unknown;27;may;319;1;-1;unknown;0
51;technician;married;secondary;-1042;1;0;unknown;27;may;272;2;-1;unknown;0
38;management;single;tertiary;16957;1;0;unknown;27;may;142;2;-1;unknown;0
41;admin.;divorced;secondary;348;1;0;unknown;27;may;233;3;-1;unknown;0
60;technician;divorced;tertiary;-317;1;0;unknown;27;may;498;1;-1;unknown;0
53;blue-collar;married;primary;1715;1;1;unknown;27;may;27;1;-1;unknown;0
56;retired;divorced;primary;-154;1;0;unknown;27;may;127;1;-1;unknown;0
37;entrepreneur;single;tertiary;-274;1;1;unknown;27;may;237;2;-1;unknown;0
35;services;single;secondary;-267;1;0;unknown;27;may;193;1;-1;unknown;0
37;entrepreneur;married;tertiary;836;1;0;unknown;27;may;129;2;-1;unknown;0
35;management;married;secondary;1160;1;0;unknown;27;may;116;3;-1;unknown;0
44;services;married;secondary;-230;1;1;unknown;27;may;99;1;-1;unknown;0
33;admin.;married;secondary;220;1;0;unknown;27;may;345;1;-1;unknown;0
36;admin.;divorced;secondary;-37;1;0;unknown;27;may;151;1;-1;unknown;0
27;services;single;secondary;1043;1;0;unknown;27;may;376;2;-1;unknown;0
34;blue-collar;married;secondary;763;1;0;unknown;27;may;99;1;-1;unknown;0
30;blue-collar;single;secondary;49;0;1;unknown;27;may;210;2;-1;unknown;0
33;management;single;tertiary;0;0;0;unknown;27;may;277;1;-1;unknown;0
26;services;divorced;primary;633;1;0;unknown;27;may;326;2;-1;unknown;0
29;self-employed;married;secondary;-76;1;0;unknown;27;may;305;2;-1;unknown;0
33;technician;married;secondary;-616;1;1;unknown;27;may;320;1;-1;unknown;0
30;technician;single;secondary;1359;1;0;unknown;27;may;298;1;-1;unknown;0
36;admin.;married;secondary;234;1;0;unknown;27;may;219;1;-1;unknown;0
36;admin.;divorced;secondary;-611;1;0;unknown;27;may;222;1;-1;unknown;0
47;management;divorced;tertiary;-363;1;1;unknown;27;may;513;1;-1;unknown;0
37;blue-collar;divorced;secondary;-333;1;0;unknown;27;may;345;1;-1;unknown;0
32;blue-collar;married;primary;-275;1;1;unknown;27;may;321;1;-1;unknown;0
28;unemployed;married;secondary;863;1;1;unknown;27;may;355;1;-1;unknown;0
28;technician;married;secondary;839;1;0;unknown;27;may;240;2;-1;unknown;0
53;blue-collar;single;unknown;1555;1;0;unknown;27;may;383;2;-1;unknown;0
26;blue-collar;married;secondary;284;1;0;unknown;27;may;301;1;-1;unknown;0
42;unemployed;married;secondary;-165;1;1;unknown;27;may;179;3;-1;unknown;0
29;management;single;tertiary;941;1;0;unknown;27;may;160;1;-1;unknown;0
32;admin.;single;secondary;223;1;1;unknown;27;may;236;4;-1;unknown;0
46;management;married;tertiary;1285;1;0;unknown;27;may;89;1;-1;unknown;0
52;retired;divorced;secondary;246;1;0;unknown;27;may;181;1;-1;unknown;0
28;admin.;single;secondary;891;1;0;unknown;27;may;377;1;-1;unknown;0
45;entrepreneur;married;primary;-100;1;0;unknown;27;may;240;6;-1;unknown;0
25;blue-collar;single;primary;6;1;1;unknown;27;may;174;2;-1;unknown;0
60;blue-collar;married;primary;93;0;1;unknown;27;may;125;4;-1;unknown;0
26;blue-collar;married;primary;-683;1;1;unknown;27;may;446;1;-1;unknown;0
38;blue-collar;married;secondary;-220;1;0;unknown;27;may;518;2;-1;unknown;0
23;blue-collar;single;secondary;13;1;1;unknown;27;may;280;3;-1;unknown;0
35;blue-collar;married;primary;1383;1;0;unknown;27;may;269;2;-1;unknown;0
22;technician;single;secondary;0;1;0;unknown;27;may;394;1;-1;unknown;0
34;technician;single;secondary;-329;1;0;unknown;27;may;280;1;-1;unknown;0
41;services;married;secondary;1141;1;0;unknown;27;may;228;1;-1;unknown;0
28;management;single;tertiary;204;1;0;unknown;27;may;247;1;-1;unknown;0
32;services;single;secondary;38;1;0;unknown;27;may;66;1;-1;unknown;0
27;housemaid;married;secondary;22;1;1;unknown;27;may;88;1;-1;unknown;0
25;blue-collar;single;secondary;154;1;0;unknown;27;may;312;2;-1;unknown;0
25;blue-collar;married;secondary;97;1;0;unknown;27;may;709;1;-1;unknown;1
37;blue-collar;married;secondary;0;0;0;unknown;27;may;33;6;-1;unknown;0
37;blue-collar;single;tertiary;1222;0;0;unknown;27;may;212;2;-1;unknown;0
40;admin.;married;secondary;-666;1;0;unknown;27;may;107;2;-1;unknown;0
58;blue-collar;married;secondary;-37;1;0;unknown;27;may;140;2;-1;unknown;0
24;services;married;tertiary;0;1;0;unknown;27;may;299;1;-1;unknown;0
52;management;married;secondary;0;1;1;unknown;27;may;62;13;-1;unknown;0
28;blue-collar;married;secondary;0;1;0;unknown;27;may;548;1;-1;unknown;0
29;technician;single;secondary;156;1;0;unknown;27;may;574;5;-1;unknown;0
30;technician;single;tertiary;445;1;0;unknown;27;may;182;1;-1;unknown;0
35;management;married;tertiary;-718;1;1;unknown;27;may;318;3;-1;unknown;0
34;management;single;tertiary;3635;1;0;unknown;27;may;68;9;-1;unknown;0
51;management;married;tertiary;1944;1;0;unknown;27;may;217;2;-1;unknown;0
29;technician;single;secondary;316;1;1;unknown;27;may;211;1;-1;unknown;0
35;management;married;tertiary;949;1;0;unknown;27;may;245;2;-1;unknown;0
32;services;single;secondary;259;1;0;unknown;27;may;363;2;-1;unknown;0
29;entrepreneur;married;secondary;452;1;0;unknown;27;may;347;1;-1;unknown;0
35;technician;divorced;secondary;-199;1;0;unknown;27;may;137;2;-1;unknown;0
28;blue-collar;married;secondary;781;1;0;unknown;27;may;749;2;-1;unknown;0
34;services;married;secondary;279;1;0;unknown;27;may;498;1;-1;unknown;0
32;services;married;secondary;-479;1;0;unknown;27;may;142;1;-1;unknown;0
24;technician;single;secondary;84;1;0;unknown;27;may;570;1;-1;unknown;0
45;admin.;divorced;secondary;1126;1;0;unknown;27;may;172;1;-1;unknown;0
25;services;married;secondary;4063;1;0;unknown;27;may;64;1;-1;unknown;0
33;services;married;secondary;1553;1;0;unknown;27;may;492;8;-1;unknown;0
42;blue-collar;married;secondary;68;1;0;unknown;27;may;198;1;-1;unknown;0
41;blue-collar;married;secondary;153;1;0;unknown;27;may;389;1;-1;unknown;0
35;services;married;secondary;843;1;0;unknown;27;may;120;2;-1;unknown;0
31;blue-collar;married;secondary;-325;1;1;unknown;27;may;389;2;-1;unknown;0
29;management;single;secondary;0;1;1;unknown;27;may;92;2;-1;unknown;0
26;technician;single;secondary;218;1;0;unknown;27;may;436;1;-1;unknown;0
46;blue-collar;married;primary;-326;1;0;unknown;27;may;59;4;-1;unknown;0
35;technician;single;secondary;-229;1;0;unknown;27;may;100;2;-1;unknown;0
53;management;married;primary;351;1;0;unknown;27;may;0;4;-1;unknown;0
31;technician;married;secondary;-360;1;0;unknown;27;may;93;2;-1;unknown;0
49;admin.;divorced;secondary;-203;1;0;unknown;27;may;364;2;-1;unknown;0
44;blue-collar;divorced;secondary;-239;1;0;unknown;27;may;111;3;-1;unknown;0
39;technician;married;secondary;768;1;1;unknown;27;may;171;4;-1;unknown;0
28;management;married;tertiary;13186;1;0;unknown;27;may;466;2;-1;unknown;0
28;admin.;married;secondary;6429;1;1;unknown;27;may;345;2;-1;unknown;0
31;management;married;tertiary;22867;1;0;unknown;27;may;241;2;-1;unknown;0
